,YEAR,MONTH,DAY,TIME_PST,FLAG_DAY_TIME,SURF_TEMP_C,FLAG_TEMP
527,1976,6,11,NaN,NaN,NaN,NaN
528,1976,6,12,NaN,NaN,NaN,NaN
529,1976,6,13,NaN,NaN,11.0,NaN
530,1976,6,14,NaN,NaN,12.0,NaN
531,1976,6,15,NaN,NaN,11.0,NaN
532,1976,6,16,NaN,NaN,11.5,NaN
533,1976,6,17,NaN,NaN,11.0,NaN
534,1976,6,18,NaN,NaN,10.0,NaN
535,1976,6,19,NaN,NaN,NaN,NaN
536,1976,6,20,NaN,NaN,12.0,NaN
537,1976,6,21,NaN,NaN,11.6,NaN
538,1976,6,22,NaN,NaN,NaN,NaN
539,1976,6,23,NaN,NaN,NaN,NaN
540,1976,6,24,NaN,NaN,11.0,NaN
541,1976,6,25,NaN,NaN,11.0,NaN
542,1976,6,26,NaN,NaN,NaN,NaN
543,1976,6,27,NaN,NaN,NaN,NaN
544,1976,6,28,NaN,NaN,10.8,NaN
545,1976,6,29,NaN,NaN,NaN,NaN
546,1976,6,30,NaN,NaN,NaN,NaN
547,1976,7,1,NaN,NaN,NaN,NaN
