,YEAR,MONTH,DAY,TIME_PST,FLAG_DAY_TIME,SURF_TEMP_C,FLAG_TEMP
460,1974,4,7,NaN,NaN,10.8,NaN
461,1974,4,8,NaN,NaN,NaN,NaN
462,1974,4,9,NaN,NaN,NaN,NaN
463,1974,4,10,NaN,NaN,NaN,NaN
464,1974,4,11,NaN,NaN,NaN,NaN
465,1974,4,12,NaN,NaN,NaN,NaN
466,1974,4,13,NaN,NaN,NaN,NaN
467,1974,4,14,NaN,NaN,NaN,NaN
468,1974,4,15,NaN,NaN,NaN,NaN
469,1974,4,16,NaN,NaN,NaN,NaN
470,1974,4,17,NaN,NaN,9.6,NaN
471,1974,4,18,NaN,NaN,9.0,NaN
472,1974,4,19,NaN,NaN,NaN,NaN
473,1974,4,20,NaN,NaN,NaN,NaN
474,1974,4,21,NaN,NaN,8.5,NaN
475,1974,4,22,NaN,NaN,NaN,NaN
476,1974,4,23,NaN,NaN,9.4,NaN
477,1974,4,24,NaN,NaN,9.9,NaN
478,1974,4,25,NaN,NaN,9.6,NaN
479,1974,4,26,NaN,NaN,11.0,NaN
480,1974,4,27,NaN,NaN,11.0,NaN
481,1974,4,28,NaN,NaN,NaN,NaN
482,1974,4,29,NaN,NaN,10.5,NaN
483,1974,4,30,NaN,NaN,11.0,NaN
484,1974,5,1,NaN,NaN,8.5,NaN
485,1974,5,2,NaN,NaN,9.5,NaN
486,1974,5,3,NaN,NaN,10.0,NaN
487,1974,5,4,NaN,NaN,10.0,NaN
488,1974,5,5,NaN,NaN,9.7,NaN
489,1974,5,6,NaN,NaN,9.5,NaN
490,1974,5,7,NaN,NaN,9.5,NaN
491,1974,5,8,NaN,NaN,11.0,NaN
492,1974,5,9,NaN,NaN,9.5,NaN
493,1974,5,10,NaN,NaN,10.3,NaN
494,1974,5,11,NaN,NaN,10.0,NaN
495,1974,5,12,NaN,NaN,9.5,NaN
496,1974,5,13,NaN,NaN,9.0,NaN
497,1974,5,14,NaN,NaN,8.8,NaN
498,1974,5,15,NaN,NaN,NaN,NaN
499,1974,5,16,NaN,NaN,NaN,NaN
500,1974,5,17,NaN,NaN,9.9,NaN
501,1974,5,18,NaN,NaN,9.5,NaN
502,1974,5,19,NaN,NaN,10.0,NaN
503,1974,5,20,NaN,NaN,12.5,NaN
504,1974,5,21,NaN,NaN,12.8,NaN
505,1974,5,22,NaN,NaN,11.7,NaN
506,1974,5,23,NaN,NaN,10.0,NaN
507,1974,5,24,NaN,NaN,12.0,NaN
508,1974,5,25,NaN,NaN,NaN,NaN
509,1974,5,26,NaN,NaN,NaN,NaN
510,1974,5,27,NaN,NaN,NaN,NaN
511,1974,5,28,NaN,NaN,NaN,NaN
512,1974,5,29,NaN,NaN,NaN,NaN
513,1974,5,30,NaN,NaN,10.0,NaN
514,1974,5,31,NaN,NaN,9.3,NaN
515,1974,6,1,NaN,NaN,9.3,NaN
516,1974,6,2,NaN,NaN,11.3,NaN
517,1974,6,3,NaN,NaN,9.0,NaN
518,1974,6,4,NaN,NaN,9.3,NaN
519,1974,6,5,NaN,NaN,9.8,NaN
520,1974,6,6,NaN,NaN,8.8,NaN
521,1974,6,7,NaN,NaN,9.6,NaN
522,1974,6,8,NaN,NaN,9.0,NaN
523,1974,6,9,NaN,NaN,8.4,NaN
524,1974,6,10,NaN,NaN,10.3,NaN
525,1974,6,11,NaN,NaN,9.0,NaN
526,1974,6,12,NaN,NaN,10.5,NaN
527,1974,6,13,NaN,NaN,10.3,NaN
528,1974,6,14,NaN,NaN,NaN,NaN
529,1974,6,15,NaN,NaN,NaN,NaN
530,1974,6,16,NaN,NaN,NaN,NaN
531,1974,6,17,NaN,NaN,11.7,NaN
532,1974,6,18,NaN,NaN,12.6,NaN
533,1974,6,19,NaN,NaN,12.5,NaN
534,1974,6,20,NaN,NaN,12.8,NaN
535,1974,6,21,NaN,NaN,12.5,NaN
536,1974,6,22,NaN,NaN,NaN,NaN
537,1974,6,23,NaN,NaN,NaN,NaN
538,1974,6,24,NaN,NaN,NaN,NaN
539,1974,6,25,NaN,NaN,NaN,NaN
540,1974,6,26,NaN,NaN,NaN,NaN
541,1974,6,27,NaN,NaN,NaN,NaN
542,1974,6,28,NaN,NaN,11.0,NaN
543,1974,6,29,NaN,NaN,NaN,NaN
544,1974,6,30,NaN,NaN,NaN,NaN
545,1974,7,1,NaN,NaN,11.0,NaN
546,1974,7,2,NaN,NaN,9.7,NaN
547,1974,7,3,NaN,NaN,9.4,NaN
